Date,Description,Type,Amount,Outstanding Balance,Accrued Daily Interest,Interest Paid to Date
4/9/29,credit card,Expense,5120,null,null,null
4/20/29,paycheck,Income,3192,null,null,null
5/5/29,paycheck,Income,3192,null,null,null
5/9/29,credit card,Expense,5120,null,null,null
5/20/29,paycheck,Income,3192,null,null,null
6/5/29,paycheck,Income,3192,null,null,null
6/9/29,credit card,Expense,5120,null,null,null
6/20/29,paycheck,Income,3192,null,null,null
7/5/29,paycheck,Income,3192,null,null,null
7/9/29,credit card,Expense,5120,null,null,null
7/20/29,paycheck,Income,3192,null,null,null
8/5/29,paycheck,Income,3192,null,null,null
8/9/29,credit card,Expense,5120,null,null,null
8/20/29,paycheck,Income,3192,null,null,null
9/5/29,paycheck,Income,3192,null,null,null
9/9/29,credit card,Expense,5120,null,null,null
9/20/29,paycheck,Income,3192,null,null,null
10/5/29,paycheck,Income,3192,null,null,null
10/9/29,credit card,Expense,5120,null,null,null
10/20/29,paycheck,Income,3192,null,null,null
11/5/29,paycheck,Income,3192,null,null,null
11/9/29,credit card,Expense,5120,null,null,null
11/20/29,paycheck,Income,3192,null,null,null
12/5/29,paycheck,Income,3192,null,null,null
12/9/29,credit card,Expense,5120,null,null,null
12/20/29,paycheck,Income,3192,null,null,null
1/5/30,paycheck,Income,3192,null,null,null
1/9/30,credit card,Expense,5120,null,null,null
1/20/30,paycheck,Income,3192,null,null,null
2/5/30,paycheck,Income,3192,null,null,null
2/9/30,credit card,Expense,5120,null,null,null
2/20/30,paycheck,Income,3192,null,null,null
3/5/30,paycheck,Income,3192,null,null,null
3/9/30,credit card,Expense,5120,null,null,null
3/20/30,paycheck,Income,3192,null,null,null
4/5/30,paycheck,Income,3192,null,null,null
4/9/30,credit card,Expense,5120,null,null,null
4/20/30,paycheck,Income,3192,null,null,null
5/5/30,paycheck,Income,3192,null,null,null
5/9/30,credit card,Expense,5120,null,null,null
5/20/30,paycheck,Income,3192,null,null,null
6/5/30,paycheck,Income,3192,null,null,null
6/9/30,credit card,Expense,5120,null,null,null
6/20/30,paycheck,Income,3192,null,null,null
7/5/30,paycheck,Income,3192,null,null,null
7/9/30,credit card,Expense,5120,null,null,null
7/20/30,paycheck,Income,3192,null,null,null
8/5/30,paycheck,Income,3192,null,null,null
8/9/30,credit card,Expense,5120,null,null,null
8/20/30,paycheck,Income,3192,null,null,null
9/5/30,paycheck,Income,3192,null,null,null
9/9/30,credit card,Expense,5120,null,null,null
9/20/30,paycheck,Income,3192,null,null,null
10/5/30,paycheck,Income,3192,null,null,null
10/9/30,credit card,Expense,5120,null,null,null
10/20/30,paycheck,Income,3192,null,null,null
11/5/30,paycheck,Income,3192,null,null,null
11/9/30,credit card,Expense,5120,null,null,null
11/20/30,paycheck,Income,3192,null,null,null
12/5/30,paycheck,Income,3192,null,null,null
12/9/30,credit card,Expense,5120,null,null,null
12/20/30,paycheck,Income,3192,null,null,null
1/5/31,paycheck,Income,3192,null,null,null
1/9/31,credit card,Expense,5120,null,null,null
1/20/31,paycheck,Income,3192,null,null,null
2/5/31,paycheck,Income,3192,null,null,null
2/9/31,credit card,Expense,5120,null,null,null
2/20/31,paycheck,Income,3192,null,null,null
3/5/31,paycheck,Income,3192,null,null,null
3/9/31,credit card,Expense,5120,null,null,null
3/20/31,paycheck,Income,3192,null,null,null
4/5/31,paycheck,Income,3192,null,null,null
4/9/31,credit card,Expense,5120,null,null,null
4/20/31,paycheck,Income,3192,null,null,null
5/5/31,paycheck,Income,3192,null,null,null
5/9/31,credit card,Expense,5120,null,null,null
5/20/31,paycheck,Income,3192,null,null,null
6/5/31,paycheck,Income,3192,null,null,null
6/9/31,credit card,Expense,5120,null,null,null
6/20/31,paycheck,Income,3192,null,null,null
7/5/31,paycheck,Income,3192,null,null,null
7/9/31,credit card,Expense,5120,null,null,null
7/20/31,paycheck,Income,3192,null,null,null
8/5/31,paycheck,Income,3192,null,null,null
