LineItem [description=paycheck, amount=2493.0, type=Income, date=Fri May 20 00:00:00 HST 2016] CalculatedFields [balance=469636.0, accruedInterest=64.33369863013698, runningAccruedInterest=3547.146657534247]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Wed May 25 00:00:00 HST 2016] CalculatedFields [balance=469766.0, accruedInterest=25.74060273972603, runningAccruedInterest=3572.887260273973]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri May 27 00:00:00 HST 2016] CalculatedFields [balance=468341.0, accruedInterest=64.15630136986302, runningAccruedInterest=3637.043561643836]
LineItem [description=A+, amount=135.0, type=Expense, date=Wed Jun 01 00:00:00 HST 2016] CalculatedFields [balance=468476.0, accruedInterest=25.66991780821918, runningAccruedInterest=3662.713479452055]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Fri Jun 03 00:00:00 HST 2016] CalculatedFields [balance=468596.0, accruedInterest=25.676493150684934, runningAccruedInterest=3688.38997260274]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Jun 05 00:00:00 HST 2016] CalculatedFields [balance=466103.0, accruedInterest=51.07978082191781, runningAccruedInterest=3739.4697534246575]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Thu Jun 09 00:00:00 HST 2016] CalculatedFields [balance=470103.0, accruedInterest=12.879534246575343, runningAccruedInterest=3752.349287671233]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 10 00:00:00 HST 2016] CalculatedFields [balance=468678.0, accruedInterest=64.20246575342466, runningAccruedInterest=3816.551753424658]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Wed Jun 15 00:00:00 HST 2016] CalculatedFields [balance=468928.0, accruedInterest=64.23671232876713, runningAccruedInterest=3880.788465753425]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Jun 20 00:00:00 HST 2016] CalculatedFields [balance=466435.0, accruedInterest=51.116164383561646, runningAccruedInterest=3931.9046301369867]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jun 24 00:00:00 HST 2016] CalculatedFields [balance=465010.0, accruedInterest=12.74, runningAccruedInterest=3944.6446301369865]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sat Jun 25 00:00:00 HST 2016] CalculatedFields [balance=465140.0, accruedInterest=76.4613698630137, runningAccruedInterest=4021.106]
LineItem [description=A+, amount=135.0, type=Expense, date=Fri Jul 01 00:00:00 HST 2016] CalculatedFields [balance=465275.0, accruedInterest=25.494520547945207, runningAccruedInterest=4046.6005205479455]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sun Jul 03 00:00:00 HST 2016] CalculatedFields [balance=465395.0, accruedInterest=25.50109589041096, runningAccruedInterest=4072.1016164383564]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Jul 05 00:00:00 HST 2016] CalculatedFields [balance=462902.0, accruedInterest=38.0467397260274, runningAccruedInterest=4110.148356164384]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Jul 08 00:00:00 HST 2016] CalculatedFields [balance=461477.0, accruedInterest=12.643205479452055, runningAccruedInterest=4122.791561643836]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Sat Jul 09 00:00:00 HST 2016] CalculatedFields [balance=465477.0, accruedInterest=76.51676712328768, runningAccruedInterest=4199.308328767123]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Fri Jul 15 00:00:00 HST 2016] CalculatedFields [balance=465727.0, accruedInterest=63.79821917808219, runningAccruedInterest=4263.106547945205]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Wed Jul 20 00:00:00 HST 2016] CalculatedFields [balance=463234.0, accruedInterest=25.38268493150685, runningAccruedInterest=4288.489232876712]
